pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,sy_dist
"TOI-3135 b","TOI-3135",2025,"Transit",3.70655850000,13.65253849,327.36325921,5890.00,0.985000,221.67300000
"TOI-3464 b","TOI-3464",2025,"Transit",3.65155680000,13.76462830,397.28550875,6370.00,1.560000,597.77400000
"TOI-3474 b","TOI-3474",2025,"Transit",3.87951050000,14.67255574,193.87532827,6020.00,1.256000,420.12300000
"TOI-3486 b","TOI-3486",2025,"Transit",2.21778105000,10.57006880,99.16246298,4930.00,0.788000,154.71500000
"TOI-3593 b","TOI-3593",2025,"Transit",3.82128670000,11.02963701,565.73456446,5550.00,0.918000,226.63000000
"TOI-3682 b","TOI-3682",2025,"Transit",3.34624060000,12.80065596,69.28659273,5703.00,1.735000,404.21100000
"TOI-3856 b","TOI-3856",2025,"Transit",2.04360352000,13.59649359,171.62733978,5622.00,1.055000,314.44300000
"TOI-3877 b","TOI-3877",2025,"Transit",4.12359600000,11.67975789,99.79811980,5731.00,1.445000,493.77000000
"TOI-3980 b","TOI-3980",2025,"Transit",3.60892540000,14.45958510,187.51876013,5840.00,1.626000,486.72100000
"TOI-4214 b","TOI-4214",2025,"Transit",3.49138850000,10.68215861,165.27077164,6370.00,1.434000,346.88100000
"TOI-4734 b","TOI-4734",2025,"Transit",6.23563300000,10.91754720,61.65871096,6070.00,1.857000,563.06800000
"TOI-4794 b","TOI-4794",2025,"Transit",3.56581160000,14.35870428,308.29355479,6390.00,1.451000,543.00800000
"TOI-4961 b","TOI-4961",2025,"Transit",7.47918200000,12.34108775,572.09113260,5380.00,0.912000,213.07300000
"TOI-5210 b","TOI-5210",2025,"Transit",4.56610610000,10.72699453,81.99972901,5723.00,1.209000,302.08600000
"TOI-5322 b","TOI-5322",2025,"Transit",5.42332070000,16.61170940,184.02264765,5692.00,1.462000,476.89900000
"TOI-5340 b","TOI-5340",2025,"Transit",4.93943920000,15.07607904,270.15414595,5990.00,1.842000,532.62900000
"TOI-5592 b","TOI-5592",2025,"Transit",2.60858460000,17.14974047,285.72773789,6237.00,1.393000,597.02600000
"TOI-2031 A b","TOI-2031 A",2025,"Transit",5.71548654000,14.20177855,254.26272560,6490.00,1.241000,276.10500000
"TOI-2169 A b","TOI-2169 A",2025,"Transit",8.21482820000,12.50922246,329.58805806,6270.00,1.820000,351.48700000
"TOI-3160 A b","TOI-3160 A",2025,"Transit",3.97128100000,13.76462830,378.21580433,6190.00,1.346000,567.67800000
"TOI-3523 A b","TOI-3523 A",2025,"Transit",2.30458952000,15.97279750,435.42491759,6450.00,1.448000,645.29400000
"TOI-4487 A b","TOI-4487 A",2025,"Transit",3.95407090000,14.60530185,397.28550875,6206.00,1.634000,479.14500000
"TOI-5181 A b","TOI-5181 A",2025,"Transit",3.89222950000,13.34989601,330.54154328,6060.00,1.530000,480.15500000
"TOI-5386 A b","TOI-5386 A",2025,"Transit",3.62156552000,14.70618268,155.10026262,6094.00,1.245000,394.48600000
"Proxima Cen d","Proxima Cen",2025,"Radial Velocity",5.12338000000,,0.26000000,2900.00,0.141000,1.30119000
"L 98-59 f","L 98-59",2025,"Radial Velocity",23.06400000000,,2.80000000,3415.00,0.315500,10.61940000
"HD 135344 A b","HD 135344 A",2025,"Imaging",,16.25302201,3178.28407000,9540.00,1.500000,141.59500000
"MOA-2022-BLG-091L b","MOA-2022-BLG-091L",2025,"Microlensing",,,1141.00398113,,,4250.00000000
